case	distancePaper	distanceNosotros	optimos
0	3066	1869	2467
1	5199	3890	4506
2	1531	715	1421
3	4899	3344	3931
4	3097	2067	2385
5	2298	1526	2055
6	5299	3549	4215
7	2424	1473	1709
8	2771	1704	2313
9	4157	2886	3480
10	1598	896	1418
11	4099	2507	2978
12	3499	2263	2712
13	1977	1437	1772
14	2399	1528	2027
15	1978	1520	1803
16	1182	714	1098
17	2999	1508	2007
18	3498	2253	2707
19	334	348	698
20	3999	2411	3070
21	6499	4446	5082
22	5199	3827	4377
23	4850	2935	3473
24	977	459	901
25	2599	1770	2165
26	4299	3221	3705
27	3798	2976	3437
28	1394	643	1284
29	6499	3835	4621
30	3499	2456	3088
31	1979	1008	1351
32	1598	1178	1442
33	6099	4816	5506
34	0	333	431
35	2298	1345	1901
36	3299	2524	2996
37	1763	1152	1360
38	344	362	719
39	0	640	824
40	2899	2308	2670
41	171	459	557
42	765	350	701
43	0	795	1066
44	5798	4419	5092
45	2498	1707	2107
46	0	565	842
47	2699	2106	2453
48	4598	3506	4234
49	0	991	1529
50	1469	1170	1338
51	1839	979	1548
52	157	403	575
53	3298	2250	2798
54	0	444	622
55	0	568	822
56	0	441	718
57	2899	2018	2500
58	1582	715	1451
59	1596	696	1437
60	2399	1446	1714
61	0	2119	2759
62	0	563	838
63	3097	2064	2770
64	2670	1850	2402
65	251	265	509
66	154	176	352
67	1898	1278	1728
68	4498	2616	3369
69	0	2799	3168
70	4498	3442	3887
71	1172	541	1073
72	1795	1057	1308
73	2598	1545	1946
74	2096	1371	1786
75	1286	991	1174
76	2698	2028	2293
77	0	517	790
78	4099	2929	3632
79	3599	2836	3158
80	5198	3389	4109
81	1396	635	1276
82	4199	2331	3053
83	4799	3808	4342
84	0	1941	2316
85	2098	1160	1913
86	0	2028	2400
87	6799	5119	5816
88	3266	2018	2495
89	0	531	708
90	3199	2055	2715
91	0	2868	3085
92	4199	3081	3604
93	1878	1235	1571
94	359	368	731
95	5399	4046	4775
96	1599	702	1445
97	359	369	752
98	798	562	756
99	1397	1120	1308
100	3199	2239	2867
101	1779	1476	1656
102	2275	1530	1932
103	5599	4279	4962
104	2298	1643	1964
105	5399	3350	4055
106	4199	2590	3328
107	427	454	888
108	1384	1075	1252
109	2056	1110	1447
110	3662	2581	3028
111	257	267	533
112	0	931	1273
113	995	468	924
114	967	141	374
115	4298	3062	3612
116	1899	1215	1653
117	1354	1012	1133
118	2799	1921	2270
119	5345	3607	4420
120	0	521	798
121	0	1566	2015
122	1563	1007	1178
123	4507	3397	4109
124	0	546	804
125	1296	619	999
126	5147	3317	4037
127	3298	2418	2905
128	0	2210	2662
129	2598	2091	2377
130	2498	1902	2275
131	3499	1978	2654
132	1681	924	1176
133	2799	2128	2517
134	0	1934	2177
135	4198	3028	3665
136	1958	1306	1754
137	5799	4349	4941
138	1160	724	1073
139	2299	1826	2117
140	2473	1523	1942
141	767	437	722
142	3398	2534	3080
143	5099	3585	4359
144	151	349	636
145	1298	736	1166
146	1999	1382	1715
147	0	531	813
148	1879	1077	1355
149	0	557	723
150	783	357	698
151	0	1931	2322
152	0	1242	1957
153	3661	2482	3106
154	7199	3735	4674
155	0	1012	1273
156	0	3224	3813
157	2699	1708	2118
158	1184	654	1102
159	5799	3191	4100
160	2056	1208	1472
161	1194	555	1120
162	3599	2600	3011
163	0	3382	4020
164	1199	503	1050
165	5299	3997	4677
166	1184	539	1096
167	1369	630	1256
168	4198	2987	3375
169	248	260	517
170	1978	1276	1733
171	2799	1785	2353
172	4399	2965	3528
173	0	784	1209
174	3599	2312	2815
175	3399	2621	3050
176	4399	2770	3285
177	0	4000	4537
178	2687	2054	2501
179	1398	556	748
180	2098	1665	1949
181	1877	1474	1625
182	358	366	717
183	2998	2219	2651
184	1895	1155	1606
185	256	271	547
186	4399	3111	3732
187	1298	716	1165
188	3662	2700	3337
189	5699	4382	5101
190	3898	2989	3426
191	6199	4846	5544
192	1598	1046	1402
193	1698	1354	1522
194	4599	3595	4008
195	6099	3931	4785
196	4398	2457	3152
197	1998	1100	1414
198	1469	767	1079
199	2498	1850	2216
200	3498	2284	2792
201	1399	638	1292
202	0	1426	2069
203	3821	2739	3380
204	1799	1152	1570
205	1699	1388	1551
206	3761	2498	3068
207	5699	3225	3860
208	0	3864	4344
209	3599	2332	2849
210	769	557	739
211	1369	1058	1172
212	0	4556	5251
213	5999	4052	4652
214	1286	792	967
215	0	4519	5097
216	1798	1200	1652
217	1780	1142	1607
218	2698	2125	2407
219	2599	1576	1876
220	3699	2471	2949
221	2797	1874	2302
222	1977	1617	1814
223	3298	2248	2622
224	0	2381	3034
225	241	249	498
226	3998	2626	3269
227	0	430	711
228	439	459	925
229	1978	1520	1793
230	2199	1294	2054
231	0	4164	4822
232	1162	534	1072
233	2698	2053	2419
234	1298	978	1157
235	0	1177	1878
236	1294	877	981
237	6299	3999	4813
238	1998	1276	1555
239	2399	1576	1942
240	1899	1200	1618
241	2199	1626	1995
242	0	3202	3735
243	1198	595	1131
244	1357	638	1234
245	3199	2149	2574
246	1599	1136	1374
247	0	3645	4185
248	2899	2033	2550
249	2350	1672	2114
250	6099	4639	5308
251	4399	2772	3303
252	2399	1783	2150
253	4899	3397	4025
254	0	4040	4715
255	185	295	477
256	0	1053	1679
257	1097	633	998
258	3399	2666	2994
259	0	483	644
260	2999	2027	2352
261	2177	1229	1939
262	2497	1688	2106
263	4799	3460	4072
264	334	358	733
265	5098	3925	4451
266	1999	1216	1548
267	0	354	547
268	1368	1062	1238
269	2868	2055	2596
270	189	374	565
271	414	433	876
272	4699	3220	3873
273	1469	906	1264
274	1698	1002	1552
275	2698	1941	2405
276	0	765	902
277	1597	705	1443
278	2275	1351	1657
279	0	822	1009
280	4499	3022	3639
281	2098	1288	1745
282	2097	1168	1920
283	1499	1165	1348
284	0	1877	2321
285	0	3210	3818
286	1898	1276	1721
287	0	3642	4256
288	3998	2524	2899
289	5099	1932	2638
290	2197	1490	1899
291	2398	1482	2218
292	1399	979	1253
293	2299	1818	2013
294	1484	1176	1289
295	1999	1451	1793
296	1898	1108	1392
297	2699	1722	2304
298	2499	1668	2143
299	0	2415	2796
300	5898	4438	5134
301	1997	1145	1756
302	4099	2966	3545
303	3066	1902	2377
304	1778	1318	1585
305	1483	805	1142
306	5699	3004	3878
307	0	3306	3884
308	2573	1600	2104
309	1699	1239	1457
310	2275	1326	1662
311	0	892	1255
312	1897	1377	1754
313	0	2731	3331
314	0	444	624
315	3899	3003	3372
316	3167	2164	2744
317	350	356	729
318	979	448	895
319	2598	1806	2139
320	781	549	739
321	3798	2943	3315
322	2097	1600	1823
323	1681	1061	1521
324	1697	769	1086
325	0	708	922
326	241	537	808
327	4499	2741	3419
328	2898	2022	2490
329	1039	571	904
330	2196	1471	1829
331	3299	2519	2992
332	0	1194	1550
333	2399	1560	1753
334	0	840	1367
335	1484	831	995
336	1162	533	1057
337	5199	3119	3900
338	2298	1690	2049
339	5799	4498	5222
340	1383	1095	1289
341	2869	1628	2240
342	2699	2170	2457
343	1031	534	888
344	0	510	770
345	1644	967	1518
346	3699	2880	3304
347	0	1394	1718
348	1453	993	1370
349	1566	1263	1441
350	2299	1241	1604
351	894	453	726
352	0	1993	2440
353	3698	2714	3326
354	2067	1457	1794
355	1368	798	1142
356	3598	1956	2635
357	3499	2639	3180
358	354	361	723
359	3999	3027	3546
360	2671	1508	2043
361	0	880	1266
362	3134	2001	2684
363	3199	2097	2640
364	888	539	807
365	5299	2971	3663
366	2798	1825	2457
367	0	643	837
368	2899	1997	2334
369	2078	1582	1790
370	3898	2688	3237
371	2999	2276	2732
372	0	2372	2764
373	2699	1776	2196
374	4498	3451	4006
375	3199	2116	2846
376	5246	3022	3819
377	161	183	370
378	4999	3804	4406
379	996	529	896
380	264	272	552
381	0	550	817
382	5099	3860	4468
383	2799	2139	2421
384	2176	1215	1780
385	1580	752	1482
386	5543	4393	4929
387	1761	1428	1621
388	2077	1171	1811
389	1483	732	1101
390	6299	4405	5193
391	6599	5239	5963
392	0	974	1330
393	2499	1715	2079
394	5499	4024	4656
395	1842	1087	1709
396	0	1487	1743
397	1398	609	1245
398	1198	553	1082
399	2199	1141	1829
400	2499	1394	1798
401	320	344	725
402	0	784	1059
403	998	734	899
404	2869	2266	2615
405	2298	1583	2008
406	0	2139	2561
407	3959	2880	3397
408	0	2796	3433
409	1799	1039	1496
410	1498	1010	1384
411	2499	1546	1846
412	1185	722	1079
413	0	351	629
414	1354	1085	1258
415	3199	2354	2720
416	159	170	339
417	3498	1880	2620
418	2276	862	1284
419	263	265	530
420	1798	1444	1614
421	1381	759	1203
422	142	172	360
423	1396	1074	1252
424	3099	2302	2709
425	0	1149	1497
426	0	1968	2441
427	5939	3794	4667
428	1498	655	965
429	1368	639	1263
430	1246	686	908
431	1598	719	1458
432	1497	755	1294
433	0	2403	3013
434	2374	1366	2032
435	1383	617	1261
436	3698	2637	3242
437	3998	2948	3376
438	0	3952	4668
439	4699	3344	3894
440	0	1177	1536
441	0	2049	2667
442	1996	1544	1823
443	3959	2601	3124
444	0	622	988
445	1861	1351	1520
446	2275	1358	2086
447	0	772	1093
448	3199	2270	2688
449	2447	1337	1767
450	2672	1914	2288
451	787	441	722
452	164	180	342
453	2599	1771	2266
454	1999	1557	1829
455	3499	2552	2915
456	2176	1469	1784
457	1978	1187	1829
458	4599	3101	3530
459	0	2060	2468
460	2299	1223	1658
461	2098	1254	1866
462	0	3101	3805
463	0	554	732
464	2998	1926	2463
465	6299	4552	5323
466	4498	2299	2922
467	0	1142	1742
468	793	423	644
469	6299	4400	5059
470	2499	1634	2168
471	6799	4899	5659
472	2999	1956	2532
473	799	346	708
474	1398	756	994
475	0	3850	4579
476	7599	5537	6313
477	1195	538	1071
478	2034	1203	1789
479	5099	3412	3955
480	2198	1358	1668
481	2798	1899	2364
482	5299	3514	4334
483	1899	819	1205
484	0	635	892
485	2399	1785	2144
486	4899	3888	4356
487	1499	1091	1359
488	1579	1182	1462
489	2497	1482	1850
490	6499	4558	5265
491	1283	992	1174
492	0	4692	5349
493	2099	1241	1657
494	2599	1828	2138
495	1899	1392	1757
496	1394	1091	1281
497	4398	3574	4022
498	1878	935	1267
499	0	3437	4161
500	2572	1917	2363
501	2299	1564	2114
502	1663	943	1253
503	2998	2062	2536
504	0	4174	4696
505	2644	1679	2231
506	3499	2189	2658
507	1999	1176	1467
508	0	913	1329
509	249	268	550
510	2299	1737	2106
511	1977	1609	1795
512	4652	3116	3763
513	985	464	919
514	1880	1308	1666
515	3331	2426	2939
516	1454	586	897
517	0	691	937
518	3098	2368	2739
519	5798	4185	4777
520	0	2900	3406
521	1727	1062	1477
522	262	287	553
523	2671	1684	2183
524	4299	2647	3347
525	3598	2344	2693
526	3399	2274	2871
527	1979	1040	1363
528	5599	4523	5074
529	859	497	640
530	0	807	1240
531	1199	522	1068
532	3399	2395	3126
533	1368	624	1258
534	4057	3019	3739
535	1799	983	1606
536	2799	1698	2346
537	2399	1878	2158
538	1383	897	1216
539	0	5313	6111
540	870	623	793
541	2296	1420	1925
542	1898	1467	1753
543	2177	1728	1987
544	2997	2093	2410
545	4799	3606	4334
546	2198	1626	1993
547	3699	2419	3018
548	978	433	885
549	2399	1891	2116
550	0	2410	2738
551	3297	2105	2532
552	155	257	440
553	2399	1794	2077
554	2299	1338	2092
555	2699	2052	2334
556	7199	5730	6372
557	0	1260	1631
558	3998	2853	3266
559	1566	701	1422
560	251	264	537
561	3397	2400	2859
562	3797	2859	3359
563	5999	4707	5345
564	1797	1170	1555
565	2399	1374	1705
566	0	4409	5160
567	3464	2091	2596
568	1665	572	907
569	0	5565	6310
570	995	468	918
571	0	4501	5131
572	3499	2199	2884
573	4599	3442	3982
574	157	348	513
575	899	658	831
576	1099	823	996
577	5299	3634	4143
578	7299	5962	6700
579	257	276	543
580	259	273	548
581	2298	1579	1899
582	1043	629	977
583	5799	4400	5050
584	418	446	898
585	0	4011	4832
586	1482	1147	1259
587	1898	1475	1663
588	1566	1126	1408
589	2698	1693	2228
590	0	735	1093
591	1580	718	1437
592	0	1270	1914
593	3365	2125	2608
594	2599	1661	1967
595	0	676	976
596	1958	1427	1618
597	7299	5852	6544
598	0	1147	1426
599	6499	5105	5801
600	895	461	716
601	1498	1180	1359
602	3498	2183	2649
603	2999	2292	2652
604	4058	2841	3440
605	0	3114	3496
606	5399	4205	4626
607	0	585	762
608	5199	3153	3823
609	2099	1600	1859
610	441	450	880
611	1439	1150	1316
612	1880	1028	1599
613	105	195	345
614	1468	917	1062
615	0	656	1032
616	1198	937	1119
617	5999	4787	5276
618	0	2992	3361
619	3399	2416	2906
620	6599	4968	5624
621	1778	1337	1607
622	1098	663	1035
623	0	3199	3920
624	7028	4114	5141
625	1396	580	1212
626	995	475	905
627	2298	1821	2080
628	5698	2850	3537
629	1699	1019	1552
630	0	3397	4292
631	799	385	759
632	977	487	929
633	6099	4168	4988
634	3299	1822	2258
635	1799	1293	1571
636	3899	2730	3264
637	3698	2793	3239
638	0	534	800
639	1357	639	1261
640	3099	1626	2052
641	226	496	713
642	4999	4012	4576
643	0	572	743
644	0	726	999
645	2671	1869	2417
646	0	1850	2189
647	1597	982	1227
648	1095	823	1003
649	1959	1491	1750
650	0	514	770
651	2998	1788	2106
652	4399	3200	3673
653	2869	2020	2438
654	2499	1513	1968
655	1697	1047	1461
656	4999	3454	3894
657	3699	2135	2753
658	2671	1663	2162
659	5399	3312	4073
660	2599	2091	2374
661	999	457	903
662	1799	1368	1627
663	1469	871	1319
664	4799	3658	4083
665	0	2556	3020
666	0	3812	4255
667	2176	1450	1677
668	998	472	926
669	2275	1799	2052
670	1085	636	997
671	240	257	531
